sk,id,org_inn
2,0848300045424000411,5032203563
3,0162300012624000030,6644001290
4,0373400013224000015,9722020612
5,0345200015224000018,4706004942
6,0294100000224000028,2020001126
7,0334100019324000054,3808015740
8,0315100003924000005,2128017587
30,0150200003924000422,5321180330
10,0148200008824000007,5032238990
11,0153300000324000024,5603005424
5652,0825500000724001439,3015115200
4223,0173200002624000096,7710474791
14,0356200006724000047,5902291290
15,0301300247624000285,0276085700
16,0841200000724000529,4401147992
17,0820600002024000060,2508139119
18,0335300022424000095,3906029847
20,0842300004424000005,6377016118
12807,0811500001124000022,1655427395
21,0174500001124001594,9204576208
22,0878500000224000410,7901549871
16974,0135300010024000028,3916002844
24,0137200001224001294,4027078890
31,0809500000324000693,1326250209
25,0865200000324000378,7017350944
17215,0135300010024000028,3916002844
28,0111200003924000026,1654022036
29,0372200041624000037,7825346732
27,0134200000124002657,3808131923
10263,0818500000824003493,2308265684
34,0373100130024000003,7713729328
5933,0358300312024000029,6166008686
1315,0368300000124000679,7325096322
33,0354100008124000001,5753024232
37,0372100030624000537,7813045441
38,0137200001224001816,4027078890
9541,0373100037624000063,7729050901
36,0173100014724000072,7701903677
7140,0358300312024000029,6166008686
41,0190300000424000442,8909000394
42,0172200004424000082,7830002078
7248,0173100007824000010,7707329152
44,0864500000224001199,6829128395
10825,0373100077624000029,7734255090
46,0304300005024000012,0704001917
47,0358100011824000022,6165033136
48,0352200021124000016,5525009644
45,0172200006124000017,7825457753
74,0141300020124000070,4415003334
50,0187300013724000042,8608000104
51,0865200000324000396,7017350944
8557,0373100134024000003,7717153412
53,0835100001324000015,3906132146
54,0187300001724000168,8619005217
56,0168300013024000209,7302032650
57,0862600020824000104,6633028614
58,0105500000224000532,0816039228
9542,0373100134024000003,7717153412
55,0169300028124000129,7409001630
22847,0154200000724000449,5753040072
3401,0373100099924000031,7707072637
62,0150200003924000337,5321180330
9791,0118600008224000004,2373025308
9543,0319300010124000253,2457054591
65,0373100087124000135,7724010662
67,0137200001224001692,4027078890
66,0204100000224000083,0711024344
68,0156200009924000374,5902293851
10323,0819300031924000107,2454024207
69,0352300014724000094,5504009604
